feature,importance
contract_type,0.15660118
num_products,0.06303362
internet_service,0.059438348
num_complaints,0.054223035
avg_call_duration,0.054172814
tenure_months,0.05262996
charges_per_product,0.05239035
total_charges,0.052138653
age,0.051766377
payment_method,0.048592426
gender,0.04593843
complaint_rate,0.044694185
issue_to_usage_ratio,0.04295032
monthly_charges,0.041877225
data_usage_gb,0.041798253
late_payments,0.037021473
online_security,0.035358757
tech_support,0.03458709
network_issues_count,0.030787513
is_month_to_month,0.0
